item_id,term_type,term_name,context_name
3117,state,Alabama,United States
3118,state,Arizona,United States
3119,state,Arkansas,United States
3120,state,California,United States
3121,state,Colorado,United States
3122,state,Connecticut,United States
3123,state,Delaware,United States
3124,state,Florida,United States
3125,state,Georgia,United States
3126,state,Idaho,United States
3127,state,Illinois,United States
3128,state,Indiana,United States
3129,state,Iowa,United States
3132,state,Louisiana,United States
3133,state,Maine,United States
3134,state,Maryland,United States
3135,state,Massachusetts,United States
3136,state,Michigan,United States
3137,state,Minnesota,United States
3138,state,Mississippi,United States
3139,state,Missouri,United States
3140,state,Montana,United States
3141,state,Nebraska,United States
3142,state,Nevada,United States
3143,state,New Hampshire,United States
3144,state,New Jersey,United States
3145,state,New Mexico,United States
3146,state,New York,United States
3147,state,North Carolina,United States
3148,state,North Dakota,United States
3149,state,Ohio,United States
3150,state,Oklahoma,United States
3151,state,Oregon,United States
3152,state,Pennsylvania,United States
3153,state,Rhode Island,United States
3154,state,South Carolina,United States
3155,state,South Dakota,United States
3156,state,Tennessee,United States
3157,state,Texas,United States
3158,state,Utah,United States
3159,state,Vermont,United States
3160,state,Virginia,United States
3161,state,Washington,United States
3162,state,West Virginia,United States
3163,state,Wisconsin,United States
3164,state,Wyoming,United States
3165,state,Albania,Europe
3166,state,Albania,World
3167,state,Afghanistan,World
3168,state,Afghanistan,Asia
3169,state,Algeria,World
3170,state,Algeria,Africa
3171,state,Angola,World
3172,state,Angola,Africa
3173,state,Argentina,World
3174,state,Argentina,South America
3175,state,Armenia,Asia
3176,state,Armenia,World
3177,state,Australia,World
3178,state,Australia,Australia and Oceania
3179,state,Azerbaijan,Asia
3180,state,Azerbaijan,World
3181,state,Bahamas,North America
3182,state,Bahamas,World
3183,state,Bangladesh,World
3184,state,Bangladesh,Asia
3185,state,Belgium,Europe
3186,state,Belgium,World
3187,state,Belize,North America
3188,state,Belize,World
3189,state,Belarus,World
3190,state,Belarus,Europe
3191,state,Benin,Africa
3192,state,Benin,World
3193,state,Bhutan,Asia
3194,state,Bhutan,World
3195,state,Bolivia,World
3196,state,Bolivia,South America
3197,state,Bosnia and Herz.,Europe
3198,state,Bosnia and Herz.,World
3199,state,Botswana,World
3200,state,Botswana,Africa
3201,state,Brazil,World
3202,state,Brazil,South America
3203,state,Brunei,Asia
3204,state,Brunei,World
3205,state,Bulgaria,Europe
3206,state,Bulgaria,World
3207,state,Burkina Faso,World
3208,state,Burkina Faso,Africa
3209,state,Burundi,Africa
3210,state,Burundi,World
3211,state,Chad,World
3212,state,Chad,Africa
3213,state,Montenegro,Europe
3214,state,Montenegro,World
3215,state,Czech Rep.,Europe
3216,state,Czech Rep.,World
3217,state,China,World
3218,state,China,Asia
3219,state,Denmark,Europe
3220,state,Denmark,World
3221,state,Dem. Rep. Congo,World
3222,state,Dem. Rep. Congo,Africa
3223,state,Dominican Rep.,North America
3224,state,Dominican Rep.,World
3225,state,Djibouti,Africa
3226,state,Djibouti,World
3227,state,Egypt,World
3228,state,Egypt,Africa
3229,state,Ecuador,World
3230,state,Ecuador,South America
3231,state,Eritrea,World
3232,state,Eritrea,Africa
3233,state,Estonia,Europe
3234,state,Estonia,World
3235,state,Ethiopia,World
3236,state,Ethiopia,Africa
3237,state,Falkland Is.,South America
3238,state,Falkland Is.,World
3239,state,Fiji,Australia and Oceania
3240,state,Fiji,World
3241,state,Philippines,World
3242,state,Philippines,Asia
3243,state,Finland,World
3244,state,Finland,Europe
3245,state,France,World
3246,state,France,Europe
3247,state,Francouzská jižní a antarktická území,World
3248,state,Gabon,World
3249,state,Gabon,Africa
3250,state,Gambia,Africa
3251,state,Gambia,World
3252,state,Ghana,World
3253,state,Ghana,Africa
3254,state,Greenland,World
3255,state,Greenland,North America
3256,state,Georgia,Asia
3257,state,Georgia,World
3258,state,Guatemala,North America
3259,state,Guatemala,World
3260,state,Guinea,World
3261,state,Guinea,Africa
3262,state,Guinea-Bissau,Africa
3263,state,Guinea-Bissau,World
3264,state,Guyana,World
3265,state,Guyana,South America
3266,state,Haiti,North America
3267,state,Haiti,World
3268,state,Honduras,World
3269,state,Honduras,North America
3270,state,Chile,World
3271,state,Chile,South America
3272,state,Croatia,Europe
3273,state,Croatia,World
3274,state,India,World
3275,state,India,Asia
3276,state,Indonesia,World
3277,state,Indonesia,Asia
3278,state,Iraq,World
3279,state,Iraq,Asia
3280,state,Iran,World
3281,state,Iran,Asia
3282,state,Ireland,Europe
3283,state,Ireland,World
3284,state,Iceland,World
3285,state,Iceland,Europe
3286,state,Italy,World
3287,state,Italy,Europe
3288,state,Israel,Asia
3289,state,Israel,World
3290,state,Jamaica,North America
3291,state,Jamaica,World
3292,state,Japan,World
3293,state,Japan,Asia
3294,state,Yemen,World
3295,state,Yemen,Asia
3296,state,South Africa,World
3297,state,South Africa,Africa
3298,state,Korea,World
3299,state,Korea,Asia
3300,state,S. Sudan,World
3301,state,S. Sudan,Africa
3302,state,Jordan,Asia
3303,state,Jordan,World
3304,state,Cambodia,World
